,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,block_num,correct_response,condition,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
135,,html-keyboard-response,135,127186,0.0-3.0-103.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,429.55530695912404,,test,429.55530695912404,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
136,,html-keyboard-response,136,127689,0.0-3.0-104.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
137,,html-keyboard-response,137,129193,0.0-3.0-105.0,390.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
138,,html-keyboard-response,138,129652,0.0-3.0-106.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,453.0791497516355,,test,453.0791497516355,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
139,,html-keyboard-response,139,130157,0.0-3.0-107.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
140,,html-keyboard-response,140,131663,0.0-3.0-108.0,295.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
141,,html-keyboard-response,141,132180,0.0-3.0-109.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,511.86708554146486,,test,511.86708554146486,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
142,,html-keyboard-response,142,132684,0.0-3.0-110.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
143,,html-keyboard-response,143,134191,0.0-3.0-111.0,266.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
144,,html-keyboard-response,144,134245,0.0-3.0-112.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,48.49880089899976,,test,48.49880089899976,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
145,,html-keyboard-response,145,134749,0.0-3.0-113.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
146,,html-keyboard-response,146,136256,0.0-3.0-114.0,333.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
147,,html-keyboard-response,147,137087,0.0-3.0-115.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,825.150513208312,,test,825.150513208312,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
148,,html-keyboard-response,148,137592,0.0-3.0-116.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
149,,html-keyboard-response,149,139098,0.0-3.0-117.0,287.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",test_trial,1500.0,,test,1000.0,0.0,",",go,"[',']",1.0,,,,,
150,,html-keyboard-response,150,139987,0.0-3.0-118.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,883.0291373380016,,test,883.0291373380016,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
151,,html-keyboard-response,151,140493,0.0-3.0-119.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,0.0,,,,,,,,,
