,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,condition,stim_color,stim_word,correct_response,choices,correct_trial,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
127,,html-keyboard-response,127,132819,0.0-3.0-107.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
128,,html-keyboard-response,128,134326,0.0-3.0-108.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">blue</div></div>",,test_trial,1500.0,,test,0.0,1000.0,incongruent,green,blue,/,"['.', ',', '/']",0,,,,,
129,,html-keyboard-response,129,134381,0.0-3.0-109.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,53.666407685692036,,test,0.0,53.666407685692036,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
130,,html-keyboard-response,130,134883,0.0-3.0-110.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
131,,html-keyboard-response,131,136390,0.0-3.0-111.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">green</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,green,green,/,"['.', ',', '/']",0,,,,,
132,,html-keyboard-response,132,137252,0.0-3.0-112.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,858.3787953056552,,test,0.0,858.3787953056552,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
133,,html-keyboard-response,133,137757,0.0-3.0-113.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
134,,html-keyboard-response,134,139262,0.0-3.0-114.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">blue</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,blue,blue,",","['.', ',', '/']",0,,,,,
135,,html-keyboard-response,135,139322,0.0-3.0-115.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,55.1672457628866,,test,0.0,55.1672457628866,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
136,,html-keyboard-response,136,139828,0.0-3.0-116.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
137,,html-keyboard-response,137,141331,0.0-3.0-117.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">green</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,green,green,/,"['.', ',', '/']",0,,,,,
138,,html-keyboard-response,138,141416,0.0-3.0-118.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,81.78831342216968,,test,0.0,81.78831342216968,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
139,,html-keyboard-response,139,141922,0.0-3.0-119.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
140,,html-keyboard-response,140,143425,0.0-3.0-120.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">red</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,red,red,.,"['.', ',', '/']",0,,,,,
141,,html-keyboard-response,141,143535,0.0-3.0-121.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,104.48946698865166,,test,0.0,104.48946698865166,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
