,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_id,exp_stage,block_num,stimulus_duration,CTI,cue_location,stim_location,condition,correct_response,choices,correct_trial,ITIParams,current_question,current_key_answer,attention_check_percent
347,,html-keyboard-response,347,255705,0.0-3.0-198.0,,"<div class = bigbox><div id=left_box style=""border-width:15px""></div></div><div class = bigbox><div id=right_box style=""border-width:15px""></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
348,,html-keyboard-response,348,255811,0.0-3.0-199.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,100.0,,,test,0.0,100.0,100.0,,,,,,,,,,
349,,html-keyboard-response,349,257315,0.0-3.0-200.0,,"<div class = bigbox><div id=left_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,both,left,doublecue,",","[',', '.']",0,,,,
350,,html-keyboard-response,350,257371,0.0-3.0-201.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,50.88444827974725,,,test,0.0,50.88444827974725,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
351,,html-keyboard-response,351,257876,0.0-3.0-202.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
352,,html-keyboard-response,352,258383,0.0-3.0-203.0,,"<div class = bigbox><div id=right_box></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_cue,500.0,,,test,0.0,500.0,,,,,,,,,,,
353,,html-keyboard-response,353,259390,0.0-3.0-204.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_CTI,1000.0,,,test,0.0,1000.0,1000.0,,,,,,,,,,
354,,html-keyboard-response,354,260896,0.0-3.0-205.0,,"<div class = bigbox><div id=right_box><div class='center-text star'>*</div></div></div><div class = bigbox><div id=left_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_trial,1500.0,,,test,0.0,1000.0,,none,right,nocue,.,"[',', '.']",0,,,,
355,,html-keyboard-response,355,262948,0.0-3.0-206.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_ITI,2045.4921401586587,,,test,0.0,2045.4921401586587,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,
356,,html-keyboard-response,356,263454,0.0-3.0-207.0,,"<div class = bigbox><div id=left_box></div></div><div class = bigbox><div id=right_box></div></div><div class = centerbox><div class = fixation style=""font-size:100px"">+</div></div>",,test_fixation,500.0,,,test,,500.0,,,,,,,,,,,
