,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,condition,choices,stimulus_duration,correct_spatial_judgement_key,num_block,spatial_location,correct_trial,spatial_sequence,rt_each_spatial_location_response_grid,rt_total_response_grid,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
38,,html-keyboard-response,38,84320,0.0-3.0-23.0,,"<div class=""container""><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,1.0,,,,,,,,,
39,,html-keyboard-response,39,87325,0.0-3.0-24.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
40,,html-keyboard-response,40,88332,0.0-3.0-25.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,11.0,,,,,,,,,
41,,html-keyboard-response,41,91339,0.0-3.0-26.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
42,,html-keyboard-response,42,92346,0.0-3.0-27.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,2.0,,,,,,,,,
43,,html-keyboard-response,43,95353,0.0-3.0-28.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
44,,html-keyboard-response,44,96357,0.0-3.0-29.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,4.0,,,,,,,,,
45,,html-keyboard-response,45,101364,0.0-3.0-30.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",[],test_response,5000.0,,test,0.0,simple,['NO_KEYS'],5000.0,,,,,"[1, 11, 2, 4]",[],0.0,,,,,
46,,html-keyboard-response,46,104327,0.0-3.0-31.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,2957.109356006612,,test,0.0,,,2957.109356006612,,,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,
47,,html-keyboard-response,47,107331,0.0-3.0-32.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
48,,html-keyboard-response,48,108338,0.0-3.0-33.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,9.0,,,,,,,,,
49,,html-keyboard-response,49,111343,0.0-3.0-34.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
50,,html-keyboard-response,50,112348,0.0-3.0-35.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,simple,,1000.0,,0.0,7.0,,,,,,,,,
51,,html-keyboard-response,51,115353,0.0-3.0-36.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,simple,,3000.0,,0.0,,,,,,,,,,
