,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,response_ends_trial,SS_stimulus,SS_trial_type,SS_duration,SSD,choices,correct_choice,stim,correct_response,currentTrial,condition,stop_acc,correct_trial,ITIParams,go_acc,current_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,1654,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,1961,0.0-1.0-0.0,305.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 10 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,,,,,,,,
2,,instructions,2,5871,0.0-1.0-1.0,3909.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 2088}, {'page_index': 1, 'viewing_time': 162}, {'page_index': 2, 'viewing_time': 1658}]",,,,,,,,,,,,,,,,,,,,,,
3,,html-keyboard-response,3,6512,0.0-2.0-0.0,640.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,,,,,,,,,
4,,html-keyboard-response,4,7017,0.0-2.0-1.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
5,,poldracklab-stop-signal,5,8522,0.0-2.0-2.0,484.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,350.0,"[',', '.']",,circle,,1.0,stop,0.0,0,,,,,,
6,,html-keyboard-response,6,9027,0.0-2.0-3.0,,"<div class = fb_box><div class = center-text><font size = 20>There was a star</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
7,,html-keyboard-response,7,9053,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,23.52543414356903,,practice,0.0,23.52543414356903,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
8,,html-keyboard-response,8,9558,0.0-2.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,
9,,poldracklab-stop-signal,9,11064,0.0-2.0-6.0,443.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,300.0,"[',', '.']",",",circle,",",2.0,go,,1,,1.0,,,,
